ablum,ablummid,end,id,name,singer,songmid,start,url
Kill the Lights,001f2qev4T0qHL,2016_49,102915921,Move,Luke Bryan,002xqqSi21p7XX,2016_36,https://y.qq.com/n/yqq/song/002xqqSi21p7XX.html
Refund Season,003GItzP40ZNBx,2016_49,106438376,Key to the Streets (Chopped Not Slopped),DJ Slim K,003shZvg1anCZ7,2016_40,https://y.qq.com/n/yqq/song/003shZvg1anCZ7.html
Glory (Deluxe Version),0039pCvB1NlQUf,2016_49,109254949,Slumber Party (Explicit),Britney Spears,002EF8PU0lHcu8,2016_49,https://y.qq.com/n/yqq/song/002EF8PU0lHcu8.html
Vice,001ZiX4j2w5D1r,2016_49,107709246,Vice,Miranda Lambert,000LH0C22Bq7Cl,2016_31,https://y.qq.com/n/yqq/song/000LH0C22Bq7Cl.html
DC4,003HXpBZ0zBD6W,2016_49,108990264,Litty,Meek Mill,000NDgSb0QVAMc,2016_46,https://y.qq.com/n/yqq/song/000NDgSb0QVAMc.html
Pen Pineapple Apple Pen,002Q72dz2e6TQv,2016_49,108702566,ペンパイナッポーアッポーペン,Piko-Taro (ピコ太郎),0027SWYv4K9hcZ,2016_43,https://y.qq.com/n/yqq/song/0027SWYv4K9hcZ.html
Greenlight,001oKinb0DKGRw,2016_49,107736659,Greenlight,Pitbull,000nyiho0L5WH0,2016_45,https://y.qq.com/n/yqq/song/000nyiho0L5WH0.html
Infinite (Europe Reissue),0021JTid2yrfg9,2016_49,179387,Infinite,Eminem,000wq0GZ1WfAa8,2016_49,https://y.qq.com/n/yqq/song/000wq0GZ1WfAa8.html
25,002rBshp4WPAut,2016_48,105345630,Send My Love (To Your New Lover),Adele,001dSHM93xOlY7,2016_23,https://y.qq.com/n/yqq/song/001dSHM93xOlY7.html
Coloring Book,003jaSTw1a97O2,2016_48,106733287,No Problem,Chance The Rapper,001egCIB2gbXnn,2016_22,https://y.qq.com/n/yqq/song/001egCIB2gbXnn.html
Views,000Tos353Iqs6f,2016_48,106148094,Too Good (Explicit),Drake,001m7uYs4BOoDt,2016_20,https://y.qq.com/n/yqq/song/001m7uYs4BOoDt.html
Nine Track Mind,004Ws4fG3pT6eA,2016_48,105539541,We Don't Talk Anymore,Charlie Puth,003uNk7n3Fpu7R,2016_7,https://y.qq.com/n/yqq/song/003uNk7n3Fpu7R.html
Various Positions,002mG7nP2WX0pl,2016_48,1640730,Hallelujah (Album Version),Leonard Cohen,002DRo2Q4AKEpz,2016_48,https://y.qq.com/n/yqq/song/002DRo2Q4AKEpz.html
We got it from Here... Thank You 4 Your service,0044VjW03NSwha,2016_48,109192655,We The People....,A Tribe Called Quest,001G8Wgj01MfAS,2016_48,https://y.qq.com/n/yqq/song/001G8Wgj01MfAS.html
Collage,004GJjOs0qcyw5,2016_48,109108311,Setting Fires,The Chainsmokers,003mplBJ1evm2q,2016_47,https://y.qq.com/n/yqq/song/003mplBJ1evm2q.html
Summer Forever,003496ka0G25Cz,2016_48,102685286,It Don't Hurt Like It Used To,Billy Currington,002TSHz20jIcWF,2016_32,https://y.qq.com/n/yqq/song/002TSHz20jIcWF.html
Shout Out to My Ex,003PF6g70lSh5I,2016_48,108884901,Shout Out to My Ex,Little Mix,002Tm9ph0cmAe4,2016_45,https://y.qq.com/n/yqq/song/002Tm9ph0cmAe4.html
Wishing,0003sgIO015z29,2016_48,106269839,Wishing,DJ Drama,0048NhHF44YnHz,2016_35,https://y.qq.com/n/yqq/song/0048NhHF44YnHz.html
Daya,000dhox30zeLar,2016_47,104120357,"Sit Still, Look Pretty",Daya,0005WJMB0munqW,2016_24,https://y.qq.com/n/yqq/song/0005WJMB0munqW.html
Lil Uzi Vert Vs. The World,001vnryK3EVQ89,2016_47,106913266,Money Longer (Explicit),Lil Uzi Vert,001Uxn383EKYMj,2016_26,https://y.qq.com/n/yqq/song/001Uxn383EKYMj.html
No Limit,001UVtpG2trUJ5,2016_47,107359022,No Limit (Explicit),Usher,004H5Qhj0YsxSb,2016_28,https://y.qq.com/n/yqq/song/004H5Qhj0YsxSb.html
I Love This Life,002kBzf130Pvdr,2016_47,104861345,I Know Somebody,Locash,002J6Rgu29i67J,2016_37,https://y.qq.com/n/yqq/song/002J6Rgu29i67J.html
All Eyez,0041lVtN37HUgZ,2016_47,107644574,All Eyez (Explicit),The Game,002KaiqL3vnkQT,2016_42,https://y.qq.com/n/yqq/song/002KaiqL3vnkQT.html
"Wat U Mean (Aye, Aye, Aye)",0034jNxl2x4Nlb,2016_47,105675674,"Wat U Mean (Aye, Aye, Aye)",Dae Dae,004djZGm13210s,2016_31,https://y.qq.com/n/yqq/song/004djZGm13210s.html
Million Reasons,000uSs3W1UP24n,2016_47,108781036,Million Reasons,Lady Gaga,00279TM838YhVk,2016_43,https://y.qq.com/n/yqq/song/00279TM838YhVk.html
Lemonade,0024BrwF3SItMM,2016_47,106026875,Hold Up,Beyoncé,000RzvP31AjTvI,2016_19,https://y.qq.com/n/yqq/song/000RzvP31AjTvI.html
Suicide Squad: The Album,0033xkGb0pw5gE,2016_47,107354554,Gangsta,Kehlani,0043iBXf0cNjb8,2016_34,https://y.qq.com/n/yqq/song/0043iBXf0cNjb8.html
A Head Full of Dreams Tour Edition,000NQNPC09SpPS,2016_46,105108676,Hymn For The Weekend,Coldplay,003Np9WY1BlSDa,2016_7,https://y.qq.com/n/yqq/song/003Np9WY1BlSDa.html
DC4,003HXpBZ0zBD6W,2016_46,108990266,Froze,Meek Mill,0006iKz90woEh7,2016_46,https://y.qq.com/n/yqq/song/0006iKz90woEh7.html
DC4,003HXpBZ0zBD6W,2016_46,108990282,Offended,Meek Mill,002OyqxW0D2p1c,2016_46,https://y.qq.com/n/yqq/song/002OyqxW0D2p1c.html
"Two Birds, One Stone",002XY3ET0dVtwx,2016_46,108973218,"Two Birds, One Stone",Drake,0012suzN3rQIh4,2016_46,https://y.qq.com/n/yqq/song/0012suzN3rQIh4.html
DC4,003HXpBZ0zBD6W,2016_46,108990262,On The Regular,Meek Mill,002l0vvk1hkHp9,2016_46,https://y.qq.com/n/yqq/song/002l0vvk1hkHp9.html
DC4,003HXpBZ0zBD6W,2016_46,108990267,The Difference,Meek Mill,001xovAp358Coa,2016_46,https://y.qq.com/n/yqq/song/001xovAp358Coa.html
DC4,003HXpBZ0zBD6W,2016_46,108990279,Blue Notes,Meek Mill,001LVPms1Eb7Hi,2016_46,https://y.qq.com/n/yqq/song/001LVPms1Eb7Hi.html
DC4,003HXpBZ0zBD6W,2016_46,108990263,Blessed Up,Meek Mill,0036AVv13tkjR6,2016_46,https://y.qq.com/n/yqq/song/0036AVv13tkjR6.html
Cool Girl,004GFQbx0n2T48,2016_46,107888683,Cool Girl (Explicit),Tove Lo,002872NE2i5zVD,2016_34,https://y.qq.com/n/yqq/song/002872NE2i5zVD.html
Dangerous Woman (Deluxe),002L9uFy29vzJh,2016_45,106484267,Into You,Ariana Grande,00078mlB3zfcuK,2016_23,https://y.qq.com/n/yqq/song/00078mlB3zfcuK.html
Views,000Tos353Iqs6f,2016_45,106148081,Controlla (Explicit),Drake,000dI4X23smHtN,2016_20,https://y.qq.com/n/yqq/song/000dI4X23smHtN.html
A-Yo,001Md9KK47LZra,2016_45,108902249,A-Yo,Lady Gaga,002THqg42mngXh,2016_45,https://y.qq.com/n/yqq/song/002THqg42mngXh.html
Perfect Illusion,0019HLwR0Fuoes,2016_45,108440543,Perfect Illusion,Lady Gaga,001IUf0l3mwRA7,2016_39,https://y.qq.com/n/yqq/song/001IUf0l3mwRA7.html
This Girl (Kungs Vs. Cookin' On 3 Burners),000yXjMf4YyiTv,2016_45,105595301,This Girl,Kungs,001hWqIa4OgUfO,2016_32,https://y.qq.com/n/yqq/song/001hWqIa4OgUfO.html
Why You Always Hatin?,0024PAte2sSAN2,2016_45,106657878,Why You Always Hatin?,YG,000XQoO53AWCGk,2016_27,https://y.qq.com/n/yqq/song/000XQoO53AWCGk.html
CRZY,001AnP8a0uRoZB,2016_45,107699937,CRZY,Kehlani,001Zr7dy252261,2016_41,https://y.qq.com/n/yqq/song/001Zr7dy252261.html
Lockjaw,002dhkio0lMGH9,2016_45,106928795,Lockjaw (Explicit),French Montana,0011XmUi12tiPx,2016_29,https://y.qq.com/n/yqq/song/0011XmUi12tiPx.html
You & Me,001UbGPS4PdH1t,2016_45,106284424,You & Me,Marc E. Bassy,003Gs5Ou3DRLdW,2016_30,https://y.qq.com/n/yqq/song/003Gs5Ou3DRLdW.html
Major Key,000gpDBH0kqFhl,2016_44,107808856,For Free (Explicit),DJ Khaled,004ZMtIe4JFMYR,2016_31,https://y.qq.com/n/yqq/song/004ZMtIe4JFMYR.html
7/27 (Deluxe),001O02rF1Watgs,2016_44,106805597,Work From Home,Fifth Harmony,000rgLFg41CxrA,2016_27,https://y.qq.com/n/yqq/song/000rgLFg41CxrA.html
